TLOC,SEXO,EDAD_V,NIV,Ser_indig,Distancia,Ingreso,Edu_fin,Tener_conyuge,Primaria,Secundaria,Preparatoria,Carrera,Afore,Seguro,Credito,Empenio,Amistad,Familiar,Microfinanza,Credit_Fintech,Nomina_Cuenta,Cuenta_Fintech
1,1,42,2,1,,7200,,1,1,0,0,0,0,0,,0,0,0,0,0,,0
1,0,43,2,1,30,0,,0,1,0,0,0,0,0,,0,0,0,0,0,,0
1,1,63,3,1,,6000,,0,0,1,0,0,0,0,1,0,1,1,0,0,,0
1,0,53,3,1,,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,,0
1,1,54,3,0,,14000,0,1,0,1,0,0,1,1,,0,0,0,0,0,,0
0,1,31,6,1,10,8000,,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0
1,0,54,2,1,,2000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0
1,1,23,6,1,40,3200,,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0,68,3,0,30,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0
1,1,66,2,1,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,60,2,0,,0,,1,1,0,0,0,0,0,,0,0,0,0,0,,0
1,1,25,3,1,,4800,,1,0,1,0,0,0,0,,0,1,1,0,0,,0
1,1,38,2,0,,3200,,1,1,0,0,0,0,0,,0,0,0,0,0,,0
0,0,61,2,0,,3400,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
1,0,35,2,0,,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,0
0,0,55,7,1,,12000,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
1,0,33,3,0,,0,,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
0,0,34,8,1,20,8800,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1
0,0,37,2,0,,3600,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0
1,0,63,2,1,,0,,0,1,0,0,0,0,0,,0,0,0,0,0,,0
1,0,31,3,1,,1200,,1,0,1,0,0,0,0,,0,0,0,0,0,,0
0,1,22,3,0,5,20000,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
1,0,60,3,1,0,2000,1,0,0,1,0,0,0,0,,0,1,0,0,0,0,1
1,1,47,0,1,,4000,,0,0,0,0,0,0,0,,0,0,1,0,0,,0
1,1,45,6,1,30,16000,,0,0,0,1,0,1,0,,0,0,0,0,0,0,0
1,1,40,2,0,,16000,,1,1,0,0,0,0,0,,0,0,0,0,0,0,0
1,0,27,8,0,40,4200,,1,0,0,0,1,0,0,,0,0,0,0,0,1,0
1,0,37,8,1,45,12000,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0
1,1,30,2,1,,11200,0,1,1,0,0,0,1,0,,0,1,0,0,0,0,1
1,0,27,3,1,0,0,,0,0,1,0,0,0,0,,0,0,0,0,0,0,0
1,1,33,8,0,,8000,0,1,0,0,0,1,1,0,,0,0,1,0,0,,0
1,1,33,3,0,,12000,,1,0,1,0,0,0,0,,0,0,0,0,0,1,0
1,0,23,6,0,40,8000,,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1
1,1,49,2,1,,0,,1,1,0,0,0,1,0,,0,0,1,0,0,,0
1,1,58,3,1,,3600,,0,0,1,0,0,0,0,,0,0,0,0,0,,0
1,0,33,6,1,,0,,1,0,0,1,0,0,0,,0,1,1,0,0,,0
1,0,20,8,0,,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,,0
1,0,40,3,0,,6000,0,1,0,1,0,0,0,0,,0,0,1,0,0,0,0
1,1,61,2,1,15,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0
0,1,52,2,0,20,18000,0,1,1,0,0,0,1,0,,0,0,0,0,0,1,0
1,0,31,6,1,30,0,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
0,1,58,6,1,20,10000,,0,0,0,1,0,1,0,,0,0,1,0,0,1,0
1,0,60,3,0,,400,0,0,0,1,0,0,0,0,1,0,0,1,0,0,,0
1,1,47,2,1,30,3000,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0
0,0,36,3,0,5,10000,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0
1,1,30,6,1,20,34200,,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1
1,1,37,0,1,15,12000,,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1,0,35,2,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0
0,1,88,2,0,15,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
1,1,36,3,0,,4800,,1,0,1,0,0,1,0,,0,0,1,0,0,,0
1,0,33,3,0,,0,,0,0,1,0,0,0,0,,0,0,0,0,0,,0
